#OTU ID	GSVY1IH01.MID4.pool1-1	GG349S001.MID13.1320	GSVY1IH02.MID8.pool2-8	GSVY1IH02.MID10.pool2-1	GSVY1IH03.MID9.pool3-9	GSVY1IH03.MID8.pool3-8	GSVY1IH03.MID6.pool3-6	GSVY1IH04.MID12.pool4-12	GSVY1IH03.MID12.pool3-1	GG349S002.MID13.1321	GSVY1IH01.MID12.pool1-12	GG349S003.MID13.1322	GSVY1IH01.MID2.pool1-2	GG349S007.MID13.1327	GSVY1IH01.MID8.pool1-8	GSVY1IH02.MID2.pool2-2	GSVY1IH03.MID7.pool3-7	GSVY1IH03.MID12.pool3-12	GSVY1IH04.MID2.pool4-2	GSVY1IH01.MID7.pool1-7	GSVY1IH04.MID7.pool4-7	GSVY1IH03.MID3.pool3-3	GG349S004.MID13.1323	GSVY1IH04.MID6.pool4-6	GSVY1IH04.MID3.pool4-3	GSVY1IH01.MID6.pool1-6	GSVY1IH02.MID7.pool2-7	GSVY1IH04.MID8.pool4-8	GSVY1IH02.MID6.pool2-6	GSVY1IH01.MID4.pool1-4	GSVY1IH01.MID9.pool1-9	GSVY1IH02.MID4.pool2-4	GG349S005.MID13.1325	GSVY1IH03.MID4.pool3-4	GSVY1IH04.MID4.pool4-4	GSVY1IH04.MID9.pool4-9	GG349S006.MID13.1326	GSVY1IH01.MID5.pool1-5	GSVY1IH01.MID10.pool1-10	GG349S008.MID13.1328
denovo56	0	0	12	141	98	40	0	41	0	0	9	0	2	0	5	292	0	8	2	18	0	0	0	0	0	0	0	27	0	0	12	0	0	0	0	1	2	0	0	50
denovo58	0	0	15	1	10	18	0	2	7	0	28	0	2	246	14	16	3	11	0	24	0	0	81	1	0	18	1	104	15	0	18	0	2	0	0	19	2	9	0	69
denovo59	13	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	135	0	141	0	0	7	0	0	1	412
denovo57	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	7	0	11	0	0	0	0	14	0	0	1	1	1	0	177	0	518	0
denovo452	1	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	4	0	2	0	0	0
denovo727	0	2	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
denovo725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
denovo754	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
denovo722	0	0	0	0	0	0	2	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
denovo720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0
denovo755	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
denovo752	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo323	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	2	0	0	0	0	1	0	0
denovo322	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	7	2	0	3	0	0	0	0	0	0	0	0	0	0	0
denovo321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
denovo327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
denovo326	0	0	5	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	20	0	0	0	0	0	0	1
denovo325	0	0	0	0	0	32	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
denovo324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
denovo329	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	3	0	0	0	7
denovo750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
denovo187	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo186	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	2	0	55	3	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
denovo185	0	0	0	49	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	4	0	9	0	0	0	0	1	0	23
denovo184	0	6	0	0	18	5	0	0	0	0	0	9	0	0	0	0	0	0	1	22	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	39	0	0
denovo183	3	40	3	0	0	1	0	5	0	0	15	0	1	0	0	0	1	1	13	1	0	1	0	7	0	2	0	0	1	1	1	0	11	0	0	0	0	4	2	0
denovo181	2	65	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
denovo180	5	0	0	2	0	0	5	0	11	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	24	0	0	0	0	16	0	2	0	2	18	0	0	0	2	0
denovo189	1	1	0	4	0	0	0	1	6	4	1	0	0	0	0	0	9	0	1	15	41	0	0	1	0	1	5	0	4	0	0	0	5	0	0	0	0	1	1	0
denovo188	0	101	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1
denovo437	0	0	0	0	0	0	0	0	0	0	0	0	1	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0
denovo436	0	5	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	5	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0
denovo435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	1	0	10
denovo434	0	0	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
denovo433	0	0	0	0	0	0	5	0	1	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	1	0	0
denovo432	0	0	0	0	0	0	4	0	0	0	0	0	1	4	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0
denovo431	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	1
denovo439	0	7	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
denovo438	4	7	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
denovo619	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
denovo617	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
denovo613	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
denovo611	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
